Designator,Comment,Footprint,JLCPCB Part #（optional）
C_pwr_aux_0,100uF,CP_Elec_6.3x5.4,C249790
C_pwr_aux_1,100uF,CP_Elec_6.3x5.4,C249790
C_pwr_vcc_0,100uF,CP_Elec_6.3x5.4,C249790
C_pwr_vcc_core_0,100uF,CP_Elec_6.3x5.4,C249790
C_pwr_vcc_core_1,100uF,CP_Elec_6.3x5.4,C249790
U_pwr_vcc_1,100uF,CP_Elec_6.3x5.4,C249790
R__eeprom_dq1_0,33R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C328394
R_clk_out_0,33R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C328394
R_JTAG_TCK_0,33R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C328394
R_JTAG_TDI_0,33R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C328394
R_JTAG_TDO_0,33R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C328394
R_JTAG_TMS_0,33R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C328394
R_d_in_acc_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_acc_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_bus1_one_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_bus1_ps_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_clk_manual_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_iar_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_iar_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_ir_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_ir_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_is_bus1_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_is_clk_external_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_is_clk_high_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_is_clk_low_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_is_clk_manual_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_is_clk_veryhigh_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_manual_input_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_none_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_r0_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_r0_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_r1_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_r1_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_r2_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_r2_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_r3_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_r3_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_ram_a_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_ram_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_ram_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_read_reg_en_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_temp_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_d_in_write_reg_en_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_acc_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_acc_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_bus1_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_can_read_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_can_write_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_clk_internal_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
R_out_clkc_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352185
