Ref,Val,Package,PosX,PosY,Rot,Side
"C_clk_0","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-207.242500,-55.880000,0.000000,bottom
"C_clk_1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-207.242500,-58.420000,180.000000,bottom
"C_clk_out_0","15pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-194.691000,-53.340000,0.000000,bottom
"C_eeprom_vcc_0","104","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-147.255000,-59.690000,-90.000000,bottom
"F_pwr_0","Fuse 3.3V / 2A","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-199.390000,-10.160000,180.000000,bottom
"R_HSWAP_EN_0","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-175.260000,-27.940000,90.000000,bottom
"R_JTAG_TCK_0","33R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-165.100000,-13.970000,180.000000,bottom
"R_JTAG_TDI_0","33R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-184.150000,-13.970000,180.000000,bottom
"R_JTAG_TDO_0","33R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-175.260000,-13.970000,180.000000,bottom
"R_JTAG_TMS_0","33R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-154.940000,-13.970000,180.000000,bottom
"R_M_0","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-163.195000,-64.770000,-90.000000,bottom
"R_PROG_B_0","820R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-176.530000,-24.130000,0.000000,bottom
"R_VS_0","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-156.845000,-67.310000,-90.000000,bottom
"R_VS_1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-159.512000,-70.231000,-90.000000,bottom
"R_VS_2","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-160.020000,-64.770000,-90.000000,bottom
"R__eeprom_dq1_0","33R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-152.335000,-64.770000,180.000000,bottom
"R_clk_oe_0","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-207.010000,-63.500000,180.000000,bottom
"R_clk_out_0","33R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-189.230000,-53.340000,180.000000,bottom
"R_eeprom_hold_0","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-142.175000,-59.690000,-90.000000,bottom
"R_eeprom_s_0","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-152.335000,-62.230000,180.000000,bottom
"R_eeprom_spi_clk_pulldown_0","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-135.255000,-68.580000,180.000000,bottom
"R_eeprom_spi_clk_pullup_0","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-135.255000,-66.040000,180.000000,bottom
"R_eeprom_w_0","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-152.335000,-67.310000,180.000000,bottom
"U_FPGA_0","XC3S250E-4TQG144C","TQFP-144_20x20mm_P0.5mm",-166.370000,-48.260000,180.000000,bottom
"U_eeprom_0","M25P16-VMN3PB","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",-144.715000,-64.770000,180.000000,bottom
"U_pwr_aux_0","AMS1117-2.5","SOT-223-3_TabPin2",-207.010000,-50.800000,0.000000,bottom
"U_pwr_vcc_0","AMS1117-3.3","SOT-223-3_TabPin2",-207.010000,-30.480000,0.000000,bottom
"U_pwr_vcc_core_0","AMS1117-1.2","SOT-223-3_TabPin2",-207.010000,-40.640000,0.000000,bottom
"X_clk_0","FTO50,000MS7-3.3v","Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm_HandSoldering",-195.580000,-59.690000,180.000000,bottom
