Ref,Val,Package,PosX,PosY,Rot,Side
"C_pwr_aux_0","100uF","CP_Elec_6.3x5.4",196.590000,-59.690000,0.000000,top
"C_pwr_aux_1","100uF","CP_Elec_6.3x5.4",196.590000,-67.310000,0.000000,top
"C_pwr_vcc_0","100uF","CP_Elec_6.3x5.4",194.310000,-24.130000,0.000000,top
"C_pwr_vcc_core_0","100uF","CP_Elec_6.3x5.4",191.770000,-39.370000,0.000000,top
"C_pwr_vcc_core_1","100uF","CP_Elec_6.3x5.4",191.770000,-46.990000,0.000000,top
"D_in_acc_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.190000,-55.340000,0.000000,top
"D_in_acc_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.670000,-68.580000,0.000000,top
"D_in_bus1_one_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",64.730000,-93.440000,0.000000,top
"D_in_bus1_ps_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",64.730000,-88.360000,0.000000,top
"D_in_clk_manual_0","LED yellow 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.250000,-141.700000,0.000000,top
"D_in_iar_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.570000,-40.100000,0.000000,top
"D_in_iar_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.670000,-48.260000,0.000000,top
"D_in_ir_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.650000,-48.260000,0.000000,top
"D_in_ir_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.670000,-58.420000,0.000000,top
"D_in_is_bus1_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.110000,-80.740000,0.000000,top
"D_in_is_clk_external_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.650000,-139.160000,0.000000,top
"D_in_is_clk_high_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.650000,-144.240000,0.000000,top
"D_in_is_clk_low_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.650000,-149.320000,0.000000,top
"D_in_is_clk_manual_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.650000,-154.400000,0.000000,top
"D_in_is_clk_veryhigh_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.650000,-134.080000,0.000000,top
"D_in_manual_input_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",26.630000,-55.340000,0.000000,top
"D_in_none_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.410000,-37.560000,0.000000,top
"D_in_r0_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.570000,-70.580000,0.000000,top
"D_in_r0_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",118.070000,-58.420000,0.000000,top
"D_in_r1_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.410000,-73.120000,0.000000,top
"D_in_r1_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",118.070000,-68.580000,0.000000,top
"D_in_r2_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.250000,-70.580000,0.000000,top
"D_in_r2_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",118.070000,-78.740000,0.000000,top
"D_in_r3_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",29.170000,-62.960000,0.000000,top
"D_in_r3_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",118.070000,-88.900000,0.000000,top
"D_in_ram_a_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.670000,-78.740000,0.000000,top
"D_in_ram_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.650000,-62.960000,0.000000,top
"D_in_ram_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.670000,-88.900000,0.000000,top
"D_in_read_reg_en_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.110000,-29.940000,0.000000,top
"D_in_temp_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",118.070000,-48.260000,0.000000,top
"D_in_write_reg_en_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.910000,-29.940000,0.000000,top
"D_out_acc_r_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.250000,-111.220000,0.000000,top
"D_out_acc_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.250000,-118.840000,0.000000,top
"D_out_bus1_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",49.490000,-111.220000,0.000000,top
"D_out_can_read_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",18.770000,-29.940000,0.000000,top
"D_out_can_write_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",82.510000,-29.940000,0.000000,top
"D_out_clk_internal_0","LED yellow 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",34.250000,-146.780000,0.000000,top
"D_out_clkc_0","LED yellow 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",77.430000,-144.240000,0.000000,top
"D_out_clkr_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",77.430000,-149.320000,0.000000,top
"D_out_clkw_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",77.430000,-154.400000,0.000000,top
