null,Sourced,Placed,References,Value,Footprint
1,✓,,U1_clk_select_0,SPFT_Sliding_Switch-dynacore,SW_Sliding_5Pos
2,✓,,U2,XC3S250E-4TQG144C,TQFP-144_20x20mm_P0.5mm
3,✓,,R_d_in_acc_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
4,✓,,R_d_in_acc_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
5,✓,,R_d_in_bus1_one_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
6,✓,,R_d_in_bus1_ps_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
7,✓,,R_d_in_clk_manual_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
8,✓,,R_d_in_iar_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
9,✓,,R_d_in_iar_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
10,✓,,R_d_in_ir_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
11,✓,,R_d_in_ir_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
12,✓,,R_d_in_is_bus1_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
13,✓,,R_d_in_is_clk_external_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
14,✓,,R_d_in_is_clk_high_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
15,✓,,R_d_in_is_clk_low_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
16,✓,,R_d_in_is_clk_manual_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
17,✓,,R_d_in_is_clk_veryhigh_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
18,✓,,R_d_in_manual_input_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
19,✓,,R_d_in_none_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
20,✓,,R_d_in_r0_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
21,✓,,R_d_in_r0_w_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
22,✓,,R_d_in_r1_r_0,68R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
