#Release 14.3 - par P.40xd (lin64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Mon Aug 15 01:21:31 2022

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       cpu_facade_map.ncd
#OUTPUT FILE:      cpu_facade_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -5
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,in_write_reg_en,IBUF,IO_L01P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P3,out_can_write,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P4,in_bus1,IBUF,IO_L02P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P5,out_is_bus1_w,IOB,IO_L02N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P6,in_is_bus1_w,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P7,in_manual_input_r,IBUF,IO_L03P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P8,in_r3_r,IBUF,IO_L03N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P9,,,VCCINT,,,,,,,,1.2,,,,
P10,in_r2_r,IBUF,IO,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P11,,,GND,,,,,,,,,,,,
P12,in_r1_r,IBUF,IP/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P13,,,VCCO_3,,,3,,,,,2.50,,,,
P14,in_r0_r,IBUF,IO_L04P_3/LHCLK0,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P15,in_ram_r,IBUF,IO_L04N_3/LHCLK1,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P16,in_acc_r,IBUF,IO_L05P_3/LHCLK2,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P17,in_ir_r,IBUF,IO_L05N_3/LHCLK3/IRDY2,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P18,in_iar_r,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P19,,,GND,,,,,,,,,,,,
P20,in_read_reg_en,IBUF,IO_L06P_3/LHCLK4/TRDY2,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P21,out_can_read,IOB,IO_L06N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P22,out_flags_z,IOB,IO_L07P_3/LHCLK6,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P23,out_flags_eq,IOB,IO_L07N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P24,in_rst,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P25,out_flags_gt,IOB,IO_L08P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P26,out_flags_C_out,IOB,IO_L08N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P27,,,GND,,,,,,,,,,,,
P28,,,VCCO_3,,,3,,,,,2.50,,,,
P29,,IOB,IO,UNUSED,,3,,,,,,,,,
P30,,,VCCAUX,,,,,,,,2.5,,,,
P31,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
P32,out_sysbus<0>,IOB,IO_L09P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P33,out_sysbus<1>,IOB,IO_L09N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P34,out_sysbus<2>,IOB,IO_L10P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P35,out_sysbus<3>,IOB,IO_L10N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P36,,IBUF,IP,UNUSED,,3,,,,,,,,,
P37,,,GND,,,,,,,,,,,,
P38,in_manual_input_o<0>,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P39,monitor<0>,IOB,IO_L01P_2/CSO_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P40,out_sysbus<4>,IOB,IO_L01N_2/INIT_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P41,in_manual_input_o<1>,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P42,,,VCCO_2,,,2,,,,,2.50,,,,
P43,out_sysbus<5>,IOB,IO_L02P_2/DOUT/BUSY,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P44,monitor<1>,IOB,IO_L02N_2/MOSI/CSI_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P45,,,VCCINT,,,,,,,,1.2,,,,
P46,,,GND,,,,,,,,,,,,
P47,in_manual_input_o<2>,IBUF,IP_L03P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P48,,DIFFSI,IP_L03N_2/VREF_2,UNUSED,,2,,,,,,,,,
P49,,,VCCO_2,,,2,,,,,2.50,,,,
P50,out_sysbus<6>,IOB,IO_L04P_2/D7/GCLK12,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P51,out_sysbus<7>,IOB,IO_L04N_2/D6/GCLK13,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P52,out_usart1_tx,IOB,IO/D5,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P53,monitor<2>,IOB,IO_L05P_2/D4/GCLK14,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P54,in_manual_input_o<3>,IBUF,IO_L05N_2/D3/GCLK15,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P55,,,GND,,,,,,,,,,,,
P56,in_clk,IBUF,IP_L06P_2/RDWR_B/GCLK0,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P57,,DIFFSI,IP_L06N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
P58,in_manual_input_o<4>,IBUF,IO_L07P_2/D2/GCLK2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P59,in_manual_input_o<5>,IBUF,IO_L07N_2/D1/GCLK3,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P60,monitor<3>,IOB,IO/M1,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P61,,,GND,,,,,,,,,,,,
P62,monitor<4>,IOB,IO_L08P_2/M0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P63,monitor<5>,IOB,IO_L08N_2/DIN/D0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P64,,,VCCO_2,,,2,,,,,2.50,,,,
P65,,,VCCAUX,,,,,,,,2.5,,,,
P66,in_manual_input_o<6>,IBUF,IP/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P67,monitor<6>,IOB,IO_L09P_2/VS2/A19,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P68,monitor<7>,IOB,IO_L09N_2/VS1/A18,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P69,in_manual_input_o<7>,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P70,,DIFFM,IO_L10P_2/VS0/A17,UNUSED,,2,,,,,,,,,
P71,,DIFFS,IO_L10N_2/CCLK,UNUSED,,2,,,,,,,,,
P72,,,DONE,,,,,,,,,,,,
P73,,,GND,,,,,,,,,,,,
P74,out_s6,IOB,IO_L01P_1/A16,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P75,out_s5,IOB,IO_L01N_1/A15,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P76,out_s4,IOB,IO_L02P_1/A14,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P77,out_s3,IOB,IO_L02N_1/A13,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P78,,IBUF,IP,UNUSED,,1,,,,,,,,,
P79,,,VCCO_1,,,1,,,,,2.50,,,,
P80,,,VCCINT,,,,,,,,1.2,,,,
P81,out_s2,IOB,IO_L03P_1/A12,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P82,out_s1,IOB,IO_L03N_1/A11,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P83,out_clkw,IOB,IO/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P84,,IBUF,IP,UNUSED,,1,,,,,,,,,
P85,out_clkr,IOB,IO_L04P_1/A10/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P86,out_clkc,IOB,IO_L04N_1/A9/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P87,in_is_clk_manual,IBUF,IO_L05P_1/A8/RHCLK2,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P88,in_is_clk_low,IBUF,IO_L05N_1/A7/RHCLK3/TRDY1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P89,in_is_clk_high,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P90,,,GND,,,,,,,,,,,,
P91,in_is_clk_external,IBUF,IO_L06P_1/A6/RHCLK4/IRDY1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P92,in_is_clk_veryhigh,IBUF,IO_L06N_1/A5/RHCLK5,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P93,out_clk_internal,IOB,IO_L07P_1/A4/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P94,out_iar_w,IOB,IO_L07N_1/A3/RHCLK7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P95,in_clk_manual,IBUF,IP/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P96,out_acc_w,IOB,IO_L08P_1/A2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P97,out_ram_w,IOB,IO_L08N_1/A1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P98,out_ir_w,IOB,IO/A0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P99,,,GND,,,,,,,,,,,,
P100,,,VCCO_1,,,1,,,,,2.50,,,,
P101,,IBUF,IP,UNUSED,,1,,,,,,,,,
P102,,,VCCAUX,,,,,,,,2.5,,,,
P103,out_temp_w,IOB,IO_L09P_1/HDC,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P104,out_ram_a_w,IOB,IO_L09N_1/LDC0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P105,out_flags_w,IOB,IO_L10P_1/LDC1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P106,out_r0_w,IOB,IO_L10N_1/LDC2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P107,,IBUF,IP,UNUSED,,1,,,,,,,,,
